港澳台,#genre#
翡翠台,p3p://167.114.175.6:55331/66c04cec000a20ac2dbf03c71cf661c9
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
無線新聞台,p3p://167.114.175.6:55331/66c9c0df00016a4852abc2d358ee0ccb
無線新聞台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
無線新聞台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
黃金翡翠台,p3p://167.114.175.6:55331/653e49c20006c60f0c8397f7771b1b7b
美亞電影台(HK),p3p://167.114.175.6:55331/655f8ccc0007d2578e70f934113a2428
美亞電影台(HK),http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亞電影台(HK),http://php.jdshipin.com/TVOD/iptv.php?id=meiya
千禧經典台,p3p://167.114.175.6:55331/5fdee1a2000b5fba6d93e51308cb7ddf
千禧經典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc


大陆台,#genre#
CCTV-1综合,http://132.226.28.249:88/kzb.php?id=cctv1
CCTV-3综艺,http://132.226.28.249:88/kzb.php?id=cctv3
CCTV-4中文國際,http://132.226.28.249:88/kzb.php?id=cctv4
CCTV-5体育,http://132.226.28.249:88/kzb.php?id=cctv5
廣東體育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
廣東體育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
廣東珠江台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
廣東珠江台,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
廣東珠江台,https://pixman.mytvsuper.com.mp/Smart.php?id=zhujiang
大灣區衛視,http://132.226.28.249:88/crtn.php?u=https://tx-gjlizhi.gdtv.cn/live/gdgj&t=1753717011&s=1752903057&d=4&o=0
廣東衛視,http://132.226.28.249:88/kzb.php?id=gdws
廣東衛視,https://hkcozztm28w4tku.wcetv.com/hls/gdsatellite.m3u8
東方衛視,http://132.226.28.249:88/kzb.php?id=dfws
江蘇衛視,http://132.226.28.249:88/kzb.php?id=jsws
